SiteName,MonitorDate,Concentration,ItemUnit
朴子,20200412,14,μgm3
三義,20200412,7,μgm3
嘉義,20200412,13,μgm3
忠明,20200412,7,μgm3
花蓮,20200412,8,μgm3
板橋,20200412,13,μgm3
新竹,20200412,10,μgm3
斗六,20200412,13,μgm3
南投,20200412,9,μgm3
陽明,20200412,11,μgm3
臺南,20200412,14,μgm3
竹東,20200412,7,μgm3
金門,20200412,20,μgm3
美濃,20200412,12,μgm3
馬祖,20200412,10,μgm3
桃園,20200412,12,μgm3
馬公,20200412,11,μgm3
臺東,20200412,6,μgm3
基隆,20200412,15,μgm3
前金,20200412,16,μgm3
豐原,20200412,7,μgm3
新營,20200412,15,μgm3
士林,20200412,13,μgm3
屏東,20200412,14,μgm3
宜蘭,20200412,9,μgm3
萬華,20200412,14,μgm3
平鎮,20200412,12,μgm3
平鎮,20200409,14,μgm3
花蓮,20200409,11,μgm3
板橋,20200409,14,μgm3
南投,20200409,18,μgm3
士林,20200409,12,μgm3
恆春,20200409,10,μgm3
嘉義,20200409,30,μgm3
三義,20200409,13,μgm3
朴子,20200409,24,μgm3
宜蘭,20200409,13,μgm3
汐止,20200409,13,μgm3
萬華,20200409,13,μgm3
屏東,20200409,25,μgm3
忠明,20200409,15,μgm3
新營,20200409,27,μgm3
豐原,20200409,14,μgm3
前金,20200409,33,μgm3
基隆,20200409,12,μgm3
臺東,20200409,9,μgm3
桃園,20200409,14,μgm3
馬祖,20200409,35,μgm3
竹東,20200409,13,μgm3
美濃,20200409,20,μgm3
彰化,20200409,16,μgm3
臺南,20200409,26,μgm3
苗栗,20200409,13,μgm3
新竹,20200409,14,μgm3
金門,20200409,21,μgm3
斗六,20200409,25,μgm3
馬公,20200409,19,μgm3
陽明,20200409,8,μgm3
忠明,20200406,16,μgm3
臺南,20200406,30,μgm3
彰化,20200406,18,μgm3
馬公,20200406,12,μgm3
美濃,20200406,31,μgm3
平鎮,20200406,14,μgm3
萬華,20200406,12,μgm3
臺東,20200406,8,μgm3
竹東,20200406,10,μgm3
馬祖,20200406,18,μgm3
桃園,20200406,13,μgm3
屏東,20200406,37,μgm3
陽明,20200406,4,μgm3
朴子,20200406,21,μgm3
三義,20200406,10,μgm3
恆春,20200406,5,μgm3
新營,20200406,26,μgm3
苗栗,20200406,15,μgm3
嘉義,20200406,30,μgm3
金門,20200406,33,μgm3
宜蘭,20200406,9,μgm3
新竹,20200406,15,μgm3
南投,20200406,23,μgm3
板橋,20200406,12,μgm3
豐原,20200406,12,μgm3
花蓮,20200406,11,μgm3
汐止,20200406,14,μgm3
士林,20200406,12,μgm3
前金,20200406,42,μgm3
恆春,20200403,5,μgm3
桃園,20200403,18,μgm3
馬公,20200403,18,μgm3
萬華,20200403,15,μgm3
宜蘭,20200403,8,μgm3
陽明,20200403,5,μgm3
新營,20200403,32,μgm3
屏東,20200403,31,μgm3
金門,20200403,28,μgm3
前金,20200403,34,μgm3
臺東,20200403,5,μgm3
基隆,20200403,15,μgm3
豐原,20200403,18,μgm3
馬祖,20200403,28,μgm3
板橋,20200403,16,μgm3
平鎮,20200403,19,μgm3
竹東,20200403,17,μgm3
士林,20200403,14,μgm3
三義,20200403,14,μgm3
彰化,20200403,24,μgm3
新竹,20200403,20,μgm3
美濃,20200403,25,μgm3
花蓮,20200403,6,μgm3
南投,20200403,30,μgm3
臺南,20200403,31,μgm3
嘉義,20200403,32,μgm3
忠明,20200403,22,μgm3
朴子,20200403,27,μgm3
汐止,20200403,15,μgm3
