日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/01/22,"1,833,981","43,578,338",23.80,23.85,23.70,23.80,-0.05,850
107/01/23,"1,598,525","38,023,908",23.75,23.85,23.70,23.85,+0.05,895
107/01/24,"1,867,357","44,434,907",23.85,23.85,23.70,23.85, 0.00,659
107/01/25,"2,526,500","60,261,771",23.85,23.90,23.80,23.85, 0.00,"1,086"
107/01/26,"2,837,849","67,711,730",23.85,23.95,23.80,23.90,+0.05,"1,094"
107/01/29,"2,155,230","51,440,786",23.95,23.95,23.80,23.85,-0.05,"1,224"
107/01/30,"2,111,900","50,059,173",23.85,23.85,23.65,23.65,-0.20,"1,010"
107/01/31,"2,800,456","66,494,714",23.60,23.85,23.50,23.85,+0.20,"1,092"
107/04/02,"1,145,001","25,676,668",22.40,22.50,22.35,22.40, 0.00,526
107/04/03,"2,835,499","63,499,196",22.35,22.45,22.30,22.45,+0.05,"1,309"
107/04/09,"1,691,248","37,930,122",22.45,22.50,22.35,22.50,+0.05,794
107/04/10,"1,437,232","32,374,072",22.45,22.65,22.35,22.55,+0.05,894
107/04/11,"1,493,625","33,784,237",22.55,22.70,22.55,22.60,+0.05,763
107/04/12,"2,230,701","50,702,548",22.70,22.85,22.60,22.85,+0.25,"1,111"
107/04/13,"1,926,899","44,052,927",22.85,22.90,22.80,22.85, 0.00,974
107/04/16,"1,224,558","27,879,235",22.85,22.90,22.70,22.80,-0.05,597
107/04/17,"5,988,953","138,544,793",22.85,23.30,22.85,23.20,+0.40,"2,287"
107/04/18,"2,548,451","58,836,460",23.30,23.40,22.95,23.00,-0.20,"1,285"
107/04/19,"2,159,296","49,880,184",22.90,23.20,22.90,23.10,+0.10,"1,270"
107/04/20,"1,466,412","33,749,939",23.10,23.10,22.95,23.05,-0.05,714
107/04/23,"2,141,599","48,864,884",23.00,23.00,22.70,22.70,-0.35,"1,058"
107/04/24,"2,954,541","66,775,128",22.75,22.80,22.50,22.55,-0.15,"1,113"
107/04/25,"1,704,445","38,393,069",22.50,22.60,22.40,22.60,+0.05,"1,036"
107/04/26,"2,273,800","51,468,055",22.65,22.75,22.50,22.50,-0.10,"1,219"
107/04/27,"2,553,012","57,749,763",22.50,22.75,22.50,22.70,+0.20,"1,010"
107/04/30,"2,926,252","66,626,464",22.70,22.85,22.65,22.80,+0.10,739
107/07/02,"2,492,683","59,555,748",23.90,24.00,23.80,23.85,-0.05,"1,599"
107/07/03,"1,745,220","41,201,990",23.65,23.80,23.50,23.60,-0.25,"1,032"
107/07/04,"9,179,800","220,104,707",23.60,24.10,23.60,24.05,+0.45,"2,038"
107/07/05,"16,462,472","398,490,316",24.00,24.30,24.00,24.30,+0.25,"3,498"
107/07/06,"14,578,032","354,642,020",24.40,24.45,24.20,24.30, 0.00,"3,976"
107/07/09,"6,052,810","147,124,625",24.40,24.45,24.15,24.35,+0.05,"1,722"
107/07/10,"6,174,148","150,419,399",24.40,24.45,24.25,24.45,+0.10,"2,568"
107/07/11,"6,096,631","148,284,775",24.15,24.40,24.10,24.30,-0.15,"1,825"
107/07/12,"4,393,349","107,102,659",24.30,24.45,24.20,24.35,+0.05,"1,227"
107/07/13,"4,977,816","121,497,763",24.40,24.50,24.35,24.50,+0.15,"2,251"
