年度,機構名稱,訓練地址,班級名稱,訓練職類大類,開訓日期,結訓日期,受訓資格,訓練時數,就業率
2015,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路２段3號,物聯網行動裝置開發班(幼獅),工業類,2015/9/10,2015/12/30,專科(含)以上,600,91.30%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號, 冷凍空調節能(高雄),工業類,2015/7/14,2016/6/17,高中/職(含)以上,1800,91.30%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,工業配線,工業類,2015/1/6,2015/7/3,高中/職(含)以上,900,91.30%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,室內及工業配線(高雄),工業類,2015/10/7,2016/4/8,高中/職(含)以上,900,91.30%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號, 冷凍空調配線(高雄),工業類,2015/10/7,2016/4/8,國中(含)以上,900,91.30%
2015,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,電腦輔助機械製圖(五股),工業類,2015/10/20,2016/4/13,高中/職(含)以上,920,91.30%
2015,勞動力發展署桃竹苗分署,新竹縣竹北市福興路576號,早午餐輕食飲料創業(新竹),醫事護理及家事類,2015/6/29,2015/8/28,國中(含)以上,360,91.30%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,中餐烹調專業（桃園）,醫事護理及家事類,2015/4/15,2015/7/2,國中(含)以上,440,91.43%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,西餐烹調專業（桃園）,醫事護理及家事類,2015/5/7,2015/8/20,國中(含)以上,600,91.43%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦網路工程實務,工業類,2012/4/30,2012/10/17,專科(含)以上,920,91.67%
2012,勞動力發展署北基宜花金馬分署,新北市五股區五權路21號6F,電腦輔助機械設計與製造(五股),工業類,2012/7/6,2012/12/28,專科(含)以上,1000,91.67%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,電腦輔助設計機械製圖(生活產品組),工業類,2012/5/14,2012/8/27,專科(含)以上,600,91.67%
2012,勞動力發展署桃竹苗分署,新竹市田美三街2號,採購與成本估價分析實務,商業類,2012/5/3,2012/6/27,高中/職(含)以上,320,91.67%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,觀光餐旅專業,商業類,2012/10/25,2012/12/17,國中(含)以上,304,91.67%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,電腦輔助設計機械製圖（電腦繪圖B）,工業類,2012/9/6,2012/12/20,高中/職(含)以上,600,91.67%
2012,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,綠生活與裝修工程實務,工業類,2012/1/11,2012/6/22,高中/職(含)以上,880,91.67%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製圖與製造C,工業類,2013/7/8,2014/2/21,高中/職(含)以上,1216,91.67%
2013,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,電腦數值控制機械(CNC)(泰山-青年專班),工業類,2013/9/3,2014/2/18,高中/職(含)以上,900,91.67%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,堆高機操作,工業類,2013/6/24,2013/7/2,不限,56,91.67%
