年度,機構名稱,訓練地址,班級名稱,訓練職類大類,開訓日期,結訓日期,受訓資格,訓練時數,就業率
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,室內設計實務,藝術類,2014/8/18,2015/4/2,高中/職(含)以上,1232,100.00%
2014,勞動力發展署中彰投分署,臺中市西屯區科園路21號（朝陽科技大學創新育成中心）,移地訓練-視傳設計實務A,商業類,2014/9/22,2015/3/13,高中/職(含)以上,928,100.00%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,機電控制B,工業類,2014/7/21,2015/6/26,高中/職(含)以上,1808,100.00%
2014,勞動力發展署北基宜花金馬分署,基隆市中正區平一路21號之5,電腦輔助機械製圖(基隆),工業類,2014/1/13,2014/7/3,高中/職(含)以上,920,100.00%
2014,勞動力發展署北基宜花金馬分署,花蓮縣花蓮市華西路123號,電腦輔助機械製圖【AutoCAD組】(花蓮),工業類,2014/7/16,2014/12/25,高中/職(含)以上,920,100.00%
2014,勞動力發展署北基宜花金馬分署,宜蘭縣員山鄉員山路３段500巷1號,電腦輔助機械製圖(宜蘭),工業類,2014/8/7,2015/1/19,高中/職(含)以上,920,100.00%
2014,勞動力發展署北基宜花金馬分署,宜蘭縣員山鄉員山路３段500巷1號,水電(宜蘭),工業類,2014/3/10,2014/9/3,高中/職(含)以上,1000,100.00%
2014,勞動力發展署北基宜花金馬分署,基隆市中正區平一路21號之5,銲接(基隆),工業類,2014/7/17,2015/2/16,國中(含)以上,1200,100.00%
2014,勞動力發展署北基宜花金馬分署,基隆市中正區平一路21號之5,珠寶飾品製作(基隆),藝術類,2014/7/7,2014/12/16,高中/職(含)以上,920,100.00%
2014,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,電腦輔助機械設計與製造【製造組】(泰山-青年產訓合作專班),工業類,2014/2/24,2014/9/26,高中/職(含)以上,1200,100.00%
2014,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,水電空調(五股),工業類,2014/4/9,2014/10/7,高中/職(含)以上,1000,100.00%
2014,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,水電空調(青年產訓合作專班)(五股),工業類,2014/7/17,2015/1/13,高中/職(含)以上,1000,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,機車修護創業班,工業類,2014/7/30,2014/10/21,國中(含)以上,464,100.00%
2014,勞動力發展署桃竹苗分署,桃園市桃園區東國街14號,觀光旅館客房及公共區域服務實務班,商業類,2014/10/23,2014/11/11,高中/職(含)以上,108,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內裝修工程專案管理班,商業類,2014/10/6,2014/12/22,高中/職(含)以上,440,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,烘焙食品專業,醫事護理及家事類,2014/9/3,2014/12/18,國中(含)以上,600,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,綠色能源水電節能班（B）,工業類,2014/7/14,2014/12/19,高中/職(含)以上,900,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,電腦數值控制機械-CNC銑車中心班,工業類,2014/5/12,2014/8/25,高中/職(含)以上,600,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內裝潢木工實務,商業類,2014/7/14,2014/12/19,高中/職(含)以上,900,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內裝修工程專案管理班,商業類,2014/4/8,2014/6/25,高中/職(含)以上,440,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內設計實務,商業類,2014/7/14,2014/12/19,專科(含)以上,900,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,服飾創意實務,醫事護理及家事類,2014/7/14,2014/12/19,高中/職(含)以上,900,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,服裝樣版設計,醫事護理及家事類,2014/7/14,2014/12/19,高中/職(含)以上,900,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,觀光導遊實務,商業類,2014/8/27,2014/10/21,不限,304,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,觀光導遊實務,商業類,2014/11/3,2014/12/24,不限,304,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,觀光導遊實務,商業類,2014/6/4,2014/7/25,不限,304,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,民宿經營管理實務,商業類,2014/6/4,2014/8/5,國中(含)以上,360,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,倉管與堆高機實務班,工業類,2014/10/2,2014/11/6,不限,200,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,網頁視覺設計,商業類,2014/3/19,2014/7/4,專科(含)以上,600,100.00%
2014,勞動力發展署桃竹苗分署,苗栗縣竹南鎮科北二路2號,安親課輔暨兒童課後照顧服務人員實務班,商業類,2014/7/11,2014/8/29,高中/職(含)以上,288,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,冷氣空調節能,工業類,2014/2/24,2014/8/5,不限,900,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,中大型網路可程式控制專班,工業類,2014/6/19,2014/7/7,專科(含)以上,104,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路二段三號, 銲接實務(幼獅),工業類,2014/2/13,2014/6/6,不限,600,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路二段三號, 室內配線＆可程式控制(PLC)基礎 (幼獅),工業類,2014/2/13,2014/4/15,高中/職(含)以上,320,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路二段三號,電腦數值控制-CNC車床(幼獅),工業類,2014/2/6,2014/7/23,高中/職(含)以上,900,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路二段三號,手機程式開發(幼獅),工業類,2014/3/18,2014/8/29,專科(含)以上,900,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路二段三號,電機自動控制 (幼獅),工業類,2014/7/15,2014/12/24,高中/職(含)以上,900,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路二段三號, 室內配線＆可程式控制(PLC)基礎 (幼獅),工業類,2014/6/24,2014/8/20,高中/職(含)以上,320,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,國際會議展覽實務,商業類,2014/1/6,2014/6/24,專科(含)以上,900,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,觀光導遊實務,商業類,2014/2/13,2014/4/9,不限,304,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,國際會議展覽實務,商業類,2014/7/14,2014/12/19,專科(含)以上,900,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,中餐烹調專業,醫事護理及家事類,2014/1/3,2014/3/28,國中(含)以上,440,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,餐飲服務管理實務,商業類,2014/4/8,2014/6/25,高中/職(含)以上,440,100.00%
2014,勞動力發展署桃竹苗分署,苗栗縣竹南鎮公義路890號(苗栗訓練場),民宿經營管理實務,商業類,2014/1/9,2014/3/20,國中(含)以上,360,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,多媒體設計,商業類,2014/1/6,2014/6/24,專科(含)以上,900,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內裝潢木工實務,商業類,2014/1/6,2014/6/24,高中/職(含)以上,900,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內裝修工程專案管理,商業類,2014/1/6,2014/3/31,專科(含)以上,440,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內設計實務,商業類,2014/1/6,2014/6/24,專科(含)以上,900,100.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,Lab View系統監控班,工業類,2014/1/6,2014/6/24,專科(含)以上,900,100.00%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,營建工程實務-創意泥作,工業類,2014/1/22,2014/6/27,高中/職(含)以上,848,100.00%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,創意家具設計及製作,工業類,2014/1/22,2014/6/27,高中/職(含)以上,848,100.00%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,3D電腦輔助模具設計,工業類,2014/1/22,2014/6/27,高中/職(含)以上,848,100.00%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,電腦輔助工程測量,工業類,2014/1/22,2014/6/27,高中/職(含)以上,848,100.00%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,工業電子（無線智慧型感測技術應用）,工業類,2014/3/26,2014/8/29,高中/職(含)以上,888,100.00%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,彩繪塗裝技術,工業類,2014/3/26,2014/8/29,高中/職(含)以上,888,100.00%
2014,勞動力發展署雲嘉南分署,雲林縣北港鎮太平路80號,TIG氬氣鎢極銲接(上課地點：雲林北港),工業類,2014/3/26,2014/8/29,國中(含)以上,888,100.00%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,綠生活與裝修工程實務,工業類,2014/7/24,2014/12/26,高中/職(含)以上,888,100.00%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,電腦輔助工程測量,工業類,2014/7/24,2014/12/26,高中/職(含)以上,888,100.00%
2014,勞動力發展署雲嘉南分署,雲林縣北港鎮太平路80號,TIG氬氣鎢極銲接(上課地點：雲林北港),工業類,2014/9/24,2015/2/26,國中(含)以上,864,100.00%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,數位圖文傳播科技,工業類,2014/9/24,2015/2/26,高中/職(含)以上,864,100.00%
2014,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,冷凍空調,工業類,2014/1/8,2014/6/26,高中/職(含)以上,900,100.00%
2014,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號, 冷凍空調節能,工業類,2014/1/8,2014/12/4,高中/職(含)以上,1800,100.00%
2014,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,室內配線,工業類,2014/1/8,2014/4/7,國中(含)以上,450,100.00%
2014,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,資訊技術整合應用,工業類,2014/1/8,2014/12/4,專科(含)以上,1800,100.00%
2014,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,工業配線,工業類,2014/7/8,2014/12/19,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦裝修C,工業類,2015/8/31,2015/11/27,高中/職(含)以上,460,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,模組化-電腦繪圖AutoCAD軟體應用,工業類,2015/10/5,2015/11/24,高中/職(含)以上,284,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,模組化-機械加工與CNC車銑床技術,工業類,2015/9/21,2016/1/8,高中/職(含)以上,604,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,模組化-機電控制初階,工業類,2015/10/19,2015/12/9,高中/職(含)以上,300,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號, 綜合機械加工D班(客製化訓用合一) ,工業類,2015/12/7,2016/2/26,不限,428,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,產訓合作-室內水電技術(工程),工業類,2015/5/11,2015/11/27,不限,1100,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密機械D班-產訓合作,工業類,2015/5/18,2016/1/29,高中/職(含)以上,1412,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助二輪車修護(產訓合作訓練),工業類,2015/3/30,2015/7/3,不限,524,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密機械E班-產訓合作,工業類,2015/8/10,2016/4/28,高中/職(含)以上,1388,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號, 汽車車身技術鈑金(產訓合作訓練) ,工業類,2015/7/6,2015/10/8,不限,548,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,營建工程管理實務A,工業類,2015/2/2,2015/7/22,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,廣告設計實務A,藝術類,2015/3/2,2015/8/11,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,景觀設計實務,農業類,2015/4/13,2015/11/20,高中/職(含)以上,1204,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密機械C,工業類,2015/4/7,2015/11/16,高中/職(含)以上,1204,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,微晶片電子控制A(工業電子),工業類,2015/3/30,2015/9/8,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,木作設施製作實務A,藝術類,2015/3/30,2015/9/8,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,五軸加工技術應用A,工業類,2015/4/13,2015/9/24,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密機械B,工業類,2015/3/2,2015/10/13,高中/職(含)以上,1204,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密機械A,工業類,2015/1/19,2015/8/31,高中/職(含)以上,1204,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,網頁實務應用A,商業類,2015/2/2,2015/7/22,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,彰化縣鹿港鎮中正路588號,雲端行動辦公室軟體應用班(勞動學苑)(原電腦軟體實務應用班),商業類,2015/9/22,2015/12/8,高中/職(含)以上,360,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,機電整合C,工業類,2015/11/23,2016/7/5,高中/職(含)以上,1204,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,移地訓練-網路行銷A,商業類,2015/11/2,2016/2/26,高中/職(含)以上,628,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密機械G,工業類,2015/10/19,2016/5/30,高中/職(含)以上,1204,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,網站設置與行銷B,工業類,2015/11/23,2016/5/11,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,CNC數控F,工業類,2015/10/19,2016/4/1,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,景觀設計實務B,農業類,2015/11/30,2016/7/13,高中/職(含)以上,1204,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,飾品設計與製造(設計行銷)B,工業類,2015/11/23,2016/3/16,高中/職(含)以上,604,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,飾品設計與製造B,工業類,2015/11/2,2016/4/19,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,冷凍空調裝修B,工業類,2015/10/5,2016/3/21,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,五軸加工技術應用B,工業類,2015/10/19,2016/4/1,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,汽車車身技術,工業類,2015/11/23,2016/5/11,國中(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,室內設計實務B,藝術類,2015/11/30,2016/7/13,高中/職(含)以上,1204,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,木作設施製作實務B,藝術類,2015/9/21,2016/3/9,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,營建工程管理實務B,工業類,2015/8/4,2016/1/19,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,工業配線(自動化控制)B,工業類,2015/7/20,2016/1/4,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,機電整合B,工業類,2015/8/24,2016/4/12,高中/職(含)以上,1204,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,CNC數控D,工業類,2015/8/4,2016/1/19,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製圖與製造D,工業類,2015/9/7,2016/4/27,高中/職(含)以上,1204,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,金屬熔接技術B,工業類,2015/8/17,2016/1/30,國中(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,室內水電技術B,工業類,2015/8/4,2016/1/19,國中(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助模具設計製作（模具CAD/CAM）B,工業類,2015/5/11,2015/10/26,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製圖與製造B,工業類,2015/6/22,2016/1/28,高中/職(含)以上,1204,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,建築物裝潢實務,藝術類,2015/6/22,2016/1/28,高中/職(含)以上,1204,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,網路商務技術應用設計A,商業類,2015/5/11,2015/10/26,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,食品烘焙A,醫事護理及家事類,2015/5/11,2015/10/26,國中(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,雲端技術應用實務A,工業類,2015/4/27,2015/10/12,高中/職(含)以上,900,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦裝修A,工業類,2015/3/2,2015/5/25,高中/職(含)以上,460,100.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,汽車修護A(青年),工業類,2015/4/27,2015/10/12,高中/職(含)以上,900,100.00%
2015,勞動力發展署北基宜花金馬分署,基隆市中正區平一路21號之5,銲接專班(基隆)(吉翁企業有限公司),工業類,2015/9/21,2015/10/27,國中(含)以上,200,100.00%
2015,勞動力發展署北基宜花金馬分署,基隆市中正區平一路21號之5,銲接(產訓合作-職場體驗)(基隆) ,工業類,2015/6/1,2015/12/30,國中(含)以上,1200,100.00%
2015,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,電腦數值控制機械(CNC)(泰山),工業類,2015/7/13,2016/1/6,高中/職(含)以上,1000,100.00%
2015,勞動力發展署北基宜花金馬分署,基隆市中正區平一路21號之5,空調機電(基隆),工業類,2015/3/24,2015/9/18,高中/職(含)以上,1000,100.00%
2015,勞動力發展署北基宜花金馬分署,花蓮縣花蓮市華西路123號,水電(花蓮),工業類,2015/3/2,2015/8/27,高中/職(含)以上,1000,100.00%
2015,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,銲接(泰山),工業類,2015/7/20,2016/2/25,國中(含)以上,1200,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,空調工程儲備幹部(客製化訓用合一),工業類,2015/10/12,2015/12/29,高中/職(含)以上,450,100.00%
2015,勞動力發展署桃竹苗分署,新竹縣竹北市中和街191巷39號,冷凍設備儲備人員(客製化訓用合一)專,工業類,2015/12/14,2016/2/24,高中/職(含)以上,380,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,觀光旅館客房專業訓練實務(客製化訓用合一),商業類,2015/11/30,2015/12/25,高中/職(含)以上,160,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,冷凍冷藏實務(產訓合作),工業類,2015/7/1,2015/9/16,高中/職(含)以上,450,100.00%
2015,勞動力發展署桃竹苗分署,新竹縣竹北市中和街191巷39號,冷凍空調科技實務(產訓合作),工業類,2015/4/20,2015/7/8,高中/職(含)以上,450,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路2段3號,銲接實務(產訓合作),工業類,2015/9/15,2015/12/4,高中/職(含)以上,450,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,智慧型機器人與圖控整合應用班,工業類,2015/1/7,2015/6/29,專科(含)以上,900,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路２段3號,銲接實務班（幼獅）,工業類,2015/1/8,2015/5/6,不限,600,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路２段3號,ERP系統設計與應用班（幼獅）,工業類,2015/1/20,2015/7/10,專科(含)以上,900,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內裝修工程專案管理（桃園）,藝術類,2015/7/14,2015/9/30,高中/職(含)以上,440,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內裝潢木工實務班,藝術類,2015/1/6,2015/6/26,高中/職(含)以上,900,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,電工配線及可程式控制PLC基礎班,工業類,2015/3/3,2015/5/21,高中/職(含)以上,440,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,觀光導遊實務班,商業類,2015/3/3,2015/4/28,不限,304,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內裝修工程專案管理（桃園）,藝術類,2015/4/21,2015/7/8,高中/職(含)以上,440,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內裝修工程專案管理班,藝術類,2015/1/7,2015/4/2,高中/職(含)以上,440,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路２段3號,電腦輔助機械製圖-3D動畫機構模擬及3D Printer班（幼獅）,工業類,2015/7/21,2015/11/4,專科(含)以上,600,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,電工配線及可程式控制PLC基礎（桃園）,工業類,2015/6/1,2015/8/17,高中/職(含)以上,440,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,觀光導遊實務（桃園）,商業類,2015/7/7,2015/8/27,不限,304,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,青春展翼計畫-冷氣空調節能班,工業類,2015/1/7,2015/6/29,不限,900,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,倉管與堆高機實務（桃園）,工業類,2015/4/21,2015/5/26,不限,200,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,複合式餐飲服務實務專班(創業實務組)(桃園),商業類,2015/11/3,2015/12/14,國中(含)以上,240,100.00%
2015,勞動力發展署桃竹苗分署,新竹縣竹北市福興路576號,輕食飲料微型創業專班(精緻午茶組)(新竹),醫事護理及家事類,2015/10/5,2015/11/5,國中(含)以上,184,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,智慧節能水電自動控制(桃園)B,工業類,2015/4/15,2015/9/22,高中/職(含)以上,900,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,空間漆作與設計實務（桃園）,藝術類,2015/9/15,2015/12/2,高中/職(含)以上,440,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,觀光導遊實務專班(特約導遊組)(桃園),商業類,2015/11/3,2015/12/24,不限,304,100.00%
2015,勞動力發展署桃竹苗分署,新竹縣竹北市福興路576號,網路行銷與流通管理實務（新竹）,商業類,2015/4/15,2015/6/25,高中/職(含)以上,400,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,中大型網路可程式控制（桃園）,工業類,2015/6/1,2015/7/23,專科(含)以上,300,100.00%
2015,勞動力發展署桃竹苗分署,新竹市中華路２段723號,帳務會計實務(移地訓練),商業類,2015/1/12,2015/3/17,高中/職(含)以上,320,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路２段3號,電腦數值控制-CNC車床班（幼獅）,工業類,2015/7/21,2015/11/4,高中/職(含)以上,600,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,國際會議展覽實務（桃園）,商業類,2015/7/14,2015/12/21,專科(含)以上,900,100.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,冷氣機裝修班,工業類,2015/3/3,2015/4/15,不限,240,100.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,綠建材裝修實務班,工業類,2015/11/15,2016/1/31,高中/職(含)以上,160,100.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,包裝與行銷人員訓練班(客製化訓用合一專班)第01期,農業類,2015/11/9,2015/11/11,高中/職(含)以上,24,100.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,汽車塗裝技術產訓合作班(台南),工業類,2015/6/15,2015/9/30,高中/職(含)以上,608,100.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,CNC車床產訓合作第2班(台南),工業類,2015/9/21,2016/1/22,高中/職(含)以上,696,100.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,CNC車床產訓合作第1班(台南),工業類,2015/6/15,2015/9/11,高中/職(含)以上,520,100.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,特殊銲接(台南),工業類,2015/7/22,2015/12/25,國中(含)以上,888,100.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,電腦輔助工程測量(台南),工業類,2015/7/22,2015/12/25,高中/職(含)以上,900,100.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,電腦輔助工程測量,工業類,2015/1/21,2015/6/26,高中/職(含)以上,840,100.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,水電(台南) ,工業類,2015/7/22,2015/12/25,高中/職(含)以上,888,100.00%
2015,勞動力發展署雲嘉南分署,雲林縣北港鎮太平路80號,TIG氬氣鎢極銲接(雲林),工業類,2015/4/22,2015/9/25,國中(含)以上,896,100.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,應用電子(LED照明與太陽能光電技術應用),工業類,2015/1/21,2015/6/26,高中/職(含)以上,840,100.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,電腦輔助機械繪圖,工業類,2015/1/21,2015/6/26,高中/職(含)以上,840,100.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號, 機電整合(台南),工業類,2015/7/22,2016/6/24,高中/職(含)以上,1896,100.00%
2015,勞動力發展署雲嘉南分署,雲林縣北港鎮太平路80號北港農工(雲林訓練場),TIG氬氣鎢極銲接(雲林),工業類,2015/10/21,2016/3/25,國中(含)以上,856,100.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,汽車塗裝技術(台南),工業類,2015/10/21,2016/3/25,高中/職(含)以上,856,100.00%
