"15歲以上人口數","總計","未婚","有偶","離婚","喪偶","男","未婚","有偶","離婚","喪偶","女","未婚","有偶","離婚","喪偶"
"105年/ 臺北市 / 100歲以上","710","51","189","20","450","357","32","168","19","138","353","19","21","1","312"
"105年/ 桃園市 / 年齡別總計","1,818,456","622,282","939,331","159,031","97,812","899,872","343,044","467,526","73,014","16,288","918,584","279,238","471,805","86,017","81,524"
"105年/ 桃園市 / 15-19歲","144,911","144,448","423","40","-","75,552","75,471","76","5","-","69,359","68,977","347","35","-"
"105年/ 桃園市 / 20-24歲","155,656","148,843","5,962","847","4","81,203","79,047","1,891","264","1","74,453","69,796","4,071","583","3"
"105年/ 桃園市 / 25-29歲","153,175","117,991","31,790","3,347","47","78,916","65,893","11,786","1,234","3","74,259","52,098","20,004","2,113","44"
"105年/ 桃園市 / 30-34歲","172,718","76,431","86,024","9,947","316","85,956","46,050","36,273","3,611","22","86,762","30,381","49,751","6,336","294"
"105年/ 桃園市 / 35-39歲","194,917","50,866","123,996","19,138","917","95,669","30,842","56,689","8,023","115","99,248","20,024","67,307","11,115","802"
"105年/ 桃園市 / 40-44歲","174,222","30,295","118,478","23,750","1,699","85,735","17,564","57,349","10,624","198","88,487","12,731","61,129","13,126","1,501"
"105年/ 桃園市 / 45-49歲","168,787","20,612","118,590","26,574","3,011","83,002","11,344","58,781","12,451","426","85,785","9,268","59,809","14,123","2,585"
"105年/ 桃園市 / 50-54歲","166,285","13,867","120,843","26,073","5,502","81,392","7,462","60,665","12,439","826","84,893","6,405","60,178","13,634","4,676"
"105年/ 桃園市 / 55-59歲","145,564","8,161","107,789","21,144","8,470","70,736","4,223","55,426","9,862","1,225","74,828","3,938","52,363","11,282","7,245"
"105年/ 桃園市 / 60-64歲","122,796","4,923","90,083","15,015","12,775","58,369","2,204","47,227","7,210","1,728","64,427","2,719","42,856","7,805","11,047"
"105年/ 桃園市 / 65-69歲","82,803","2,379","58,255","7,444","14,725","38,633","1,012","31,963","3,849","1,809","44,170","1,367","26,292","3,595","12,916"
"105年/ 桃園市 / 70-74歲","46,971","946","30,967","2,720","12,338","21,176","438","17,635","1,520","1,583","25,795","508","13,332","1,200","10,755"
"105年/ 桃園市 / 75-79歲","37,570","704","21,839","1,367","13,660","16,149","293","12,873","749","2,234","21,421","411","8,966","618","11,426"
"105年/ 桃園市 / 80-84歲","24,426","539","12,059","689","11,139","11,232","269","8,233","422","2,308","13,194","270","3,826","267","8,831"
"105年/ 桃園市 / 85-89歲","18,981","645","9,362","658","8,316","11,440","451","8,067","526","2,396","7,541","194","1,295","132","5,920"
"105年/ 桃園市 / 90-94歲","6,990","436","2,487","236","3,831","3,885","329","2,247","195","1,114","3,105","107","240","41","2,717"
"105年/ 桃園市 / 95-99歲","1,454","144","343","38","929","704","112","309","27","256","750","32","34","11","673"
"105年/ 桃園市 / 100歲以上","230","52","41","4","133","123","40","36","3","44","107","12","5","1","89"
"105年/ 臺中市(99年改制前) / 年齡別總計","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 15-19歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 20-24歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 25-29歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 30-34歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 35-39歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 40-44歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 45-49歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 50-54歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 55-59歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 60-64歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 65-69歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 70-74歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 75-79歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 80-84歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 85-89歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
