"離婚對數","離婚對數","粗離婚率"
"106年 12月/ 新竹縣","93","0.17"
"106年 12月/ 苗栗縣","96","0.17"
"106年 12月/ 彰化縣","189","0.15"
"106年 12月/ 南投縣","96","0.19"
"106年 12月/ 雲林縣","113","0.16"
"106年 12月/ 嘉義縣","85","0.17"
"106年 12月/ 屏東縣","135","0.16"
"106年 12月/ 臺東縣","48","0.22"
"106年 12月/ 花蓮縣","76","0.23"
"106年 12月/ 澎湖縣","24","0.23"
"106年 12月/ 基隆市","77","0.21"
"106年 12月/ 新竹市","74","0.17"
"106年 12月/ 嘉義市","56","0.21"
"106年 12月/ 金門縣","22","0.16"
"106年 12月/ 連江縣","1","0.08"
"107年<br>(1月至5月)/ 區域別總計","22,387","0.95"
"107年<br>(1月至5月)/ 新北市","4,131","1.04"
"107年<br>(1月至5月)/ 臺北市","2,328","0.87"
"107年<br>(1月至5月)/ 桃園市","2,468","1.12"
"107年<br>(1月至5月)/ 臺中市","2,727","0.98"
"107年<br>(1月至5月)/ 臺南市","1,622","0.86"
"107年<br>(1月至5月)/ 高雄市","2,665","0.96"
"107年<br>(1月至5月)/ 宜蘭縣","412","0.90"
"107年<br>(1月至5月)/ 新竹縣","539","0.97"
"107年<br>(1月至5月)/ 苗栗縣","489","0.88"
"107年<br>(1月至5月)/ 彰化縣","942","0.74"
"107年<br>(1月至5月)/ 南投縣","440","0.88"
"107年<br>(1月至5月)/ 雲林縣","543","0.79"
"107年<br>(1月至5月)/ 嘉義縣","442","0.87"
"107年<br>(1月至5月)/ 屏東縣","743","0.90"
"107年<br>(1月至5月)/ 臺東縣","257","1.17"
"107年<br>(1月至5月)/ 花蓮縣","353","1.07"
"107年<br>(1月至5月)/ 澎湖縣","109","1.05"
"107年<br>(1月至5月)/ 基隆市","399","1.07"
"107年<br>(1月至5月)/ 新竹市","424","0.96"
"107年<br>(1月至5月)/ 嘉義市","259","0.96"
"107年<br>(1月至5月)/ 金門縣","83","0.60"
"107年<br>(1月至5月)/ 連江縣","12","0.93"
"107年 1月/ 區域別總計","4,384","0.19"
"107年 1月/ 新北市","856","0.21"
"107年 1月/ 臺北市","469","0.17"
"107年 1月/ 桃園市","477","0.22"
"107年 1月/ 臺中市","541","0.19"
"107年 1月/ 臺南市","317","0.17"
"107年 1月/ 高雄市","518","0.19"
"107年 1月/ 宜蘭縣","72","0.16"
"107年 1月/ 新竹縣","97","0.18"
"107年 1月/ 苗栗縣","86","0.16"
"107年 1月/ 彰化縣","184","0.14"
"107年 1月/ 南投縣","79","0.16"
"107年 1月/ 雲林縣","102","0.15"
"107年 1月/ 嘉義縣","81","0.16"
"107年 1月/ 屏東縣","157","0.19"
"107年 1月/ 臺東縣","41","0.19"
"107年 1月/ 花蓮縣","69","0.21"
"107年 1月/ 澎湖縣","16","0.15"
"107年 1月/ 基隆市","84","0.23"
"107年 1月/ 新竹市","74","0.17"
"107年 1月/ 嘉義市","44","0.16"
"107年 1月/ 金門縣","17","0.12"
"107年 1月/ 連江縣","3","0.23"
"107年 2月/ 區域別總計","3,396","0.14"
"107年 2月/ 新北市","602","0.15"
"107年 2月/ 臺北市","366","0.14"
"107年 2月/ 桃園市","363","0.17"
"107年 2月/ 臺中市","415","0.15"
"107年 2月/ 臺南市","247","0.13"
"107年 2月/ 高雄市","410","0.15"
"107年 2月/ 宜蘭縣","53","0.12"
"107年 2月/ 新竹縣","82","0.15"
"107年 2月/ 苗栗縣","82","0.15"
"107年 2月/ 彰化縣","147","0.11"
"107年 2月/ 南投縣","77","0.15"
"107年 2月/ 雲林縣","77","0.11"
"107年 2月/ 嘉義縣","74","0.14"
"107年 2月/ 屏東縣","115","0.14"
"107年 2月/ 臺東縣","37","0.17"
"107年 2月/ 花蓮縣","50","0.15"
"107年 2月/ 澎湖縣","20","0.19"
"107年 2月/ 基隆市","60","0.16"
"107年 2月/ 新竹市","70","0.16"
"107年 2月/ 嘉義市","33","0.12"
"107年 2月/ 金門縣","15","0.11"
"107年 2月/ 連江縣","1","0.08"
"107年 3月/ 區域別總計","5,136","0.22"
"107年 3月/ 新北市","952","0.24"
"107年 3月/ 臺北市","468","0.17"
"107年 3月/ 桃園市","603","0.27"
"107年 3月/ 臺中市","623","0.22"
"107年 3月/ 臺南市","372","0.20"
"107年 3月/ 高雄市","652","0.23"
"107年 3月/ 宜蘭縣","99","0.22"
"107年 3月/ 新竹縣","133","0.24"
"107年 3月/ 苗栗縣","97","0.18"
"107年 3月/ 彰化縣","213","0.17"
"107年 3月/ 南投縣","97","0.19"
"107年 3月/ 雲林縣","127","0.18"
"107年 3月/ 嘉義縣","95","0.19"
"107年 3月/ 屏東縣","159","0.19"
"107年 3月/ 臺東縣","56","0.26"
"107年 3月/ 花蓮縣","94","0.29"
