"離婚人數","國籍別總計","外國籍","本國籍","大陸港澳"
"106年 2月/ 彰化縣 / 男","173","3","169","1"
"106年 2月/ 彰化縣 / 女","173","18","141","14"
"106年 2月/ 南投縣 / 計","172","7","158","7"
"106年 2月/ 南投縣 / 男","86","-","85","1"
"106年 2月/ 南投縣 / 女","86","7","73","6"
"106年 2月/ 雲林縣 / 計","174","8","154","12"
"106年 2月/ 雲林縣 / 男","87","-","87","-"
"106年 2月/ 雲林縣 / 女","87","8","67","12"
"106年 2月/ 嘉義縣 / 計","198","19","161","18"
"106年 2月/ 嘉義縣 / 男","99","-","99","-"
"106年 2月/ 嘉義縣 / 女","99","19","62","18"
"106年 2月/ 屏東縣 / 計","268","10","244","14"
"106年 2月/ 屏東縣 / 男","134","1","133","-"
"106年 2月/ 屏東縣 / 女","134","9","111","14"
"106年 2月/ 臺東縣 / 計","76","7","68","1"
"106年 2月/ 臺東縣 / 男","38","-","37","1"
"106年 2月/ 臺東縣 / 女","38","7","31","-"
"106年 2月/ 花蓮縣 / 計","154","7","144","3"
"106年 2月/ 花蓮縣 / 男","77","1","75","1"
"106年 2月/ 花蓮縣 / 女","77","6","69","2"
"106年 2月/ 澎湖縣 / 計","32","4","27","1"
"106年 2月/ 澎湖縣 / 男","16","1","15","-"
"106年 2月/ 澎湖縣 / 女","16","3","12","1"
"106年 2月/ 基隆市 / 計","120","3","110","7"
"106年 2月/ 基隆市 / 男","60","-","59","1"
"106年 2月/ 基隆市 / 女","60","3","51","6"
"106年 2月/ 新竹市 / 計","136","5","123","8"
"106年 2月/ 新竹市 / 男","68","1","67","-"
"106年 2月/ 新竹市 / 女","68","4","56","8"
"106年 2月/ 嘉義市 / 計","114","3","102","9"
"106年 2月/ 嘉義市 / 男","57","-","57","-"
"106年 2月/ 嘉義市 / 女","57","3","45","9"
"106年 2月/ 金門縣 / 計","38","2","34","2"
"106年 2月/ 金門縣 / 男","19","-","18","1"
"106年 2月/ 金門縣 / 女","19","2","16","1"
"106年 2月/ 連江縣 / 計","-","-","-","-"
"106年 2月/ 連江縣 / 男","-","-","-","-"
"106年 2月/ 連江縣 / 女","-","-","-","-"
"106年 3月/ 區域別總計 / 計","10,122","483","9,021","618"
"106年 3月/ 區域別總計 / 男","5,061","65","4,952","44"
"106年 3月/ 區域別總計 / 女","5,061","418","4,069","574"
"106年 3月/ 新北市 / 計","1,902","93","1,701","108"
"106年 3月/ 新北市 / 男","951","12","928","11"
"106年 3月/ 新北市 / 女","951","81","773","97"
"106年 3月/ 臺北市 / 計","970","39","849","82"
"106年 3月/ 臺北市 / 男","485","14","462","9"
"106年 3月/ 臺北市 / 女","485","25","387","73"
"106年 3月/ 桃園市 / 計","1,060","53","943","64"
"106年 3月/ 桃園市 / 男","530","5","520","5"
"106年 3月/ 桃園市 / 女","530","48","423","59"
"106年 3月/ 臺中市 / 計","1,114","38","1,015","61"
"106年 3月/ 臺中市 / 男","557","10","543","4"
