"離婚人數","國籍別總計","外國籍","本國籍","大陸港澳"
"107年 1月/ 桃園市 / 計","954","43","866","45"
"107年 1月/ 桃園市 / 男","477","10","465","2"
"107年 1月/ 桃園市 / 女","477","33","401","43"
"107年 1月/ 臺中市 / 計","1,082","33","998","51"
"107年 1月/ 臺中市 / 男","541","3","534","4"
"107年 1月/ 臺中市 / 女","541","30","464","47"
"107年 1月/ 臺南市 / 計","634","20","580","34"
"107年 1月/ 臺南市 / 男","317","2","314","1"
"107年 1月/ 臺南市 / 女","317","18","266","33"
"107年 1月/ 高雄市 / 計","1,036","42","933","61"
"107年 1月/ 高雄市 / 男","518","4","512","2"
"107年 1月/ 高雄市 / 女","518","38","421","59"
"107年 1月/ 宜蘭縣 / 計","144","9","124","11"
"107年 1月/ 宜蘭縣 / 男","72","-","71","1"
"107年 1月/ 宜蘭縣 / 女","72","9","53","10"
"107年 1月/ 新竹縣 / 計","194","7","173","14"
"107年 1月/ 新竹縣 / 男","97","4","93","-"
"107年 1月/ 新竹縣 / 女","97","3","80","14"
"107年 1月/ 苗栗縣 / 計","172","8","152","12"
"107年 1月/ 苗栗縣 / 男","86","1","85","-"
"107年 1月/ 苗栗縣 / 女","86","7","67","12"
"107年 1月/ 彰化縣 / 計","368","22","331","15"
"107年 1月/ 彰化縣 / 男","184","-","184","-"
"107年 1月/ 彰化縣 / 女","184","22","147","15"
"107年 1月/ 南投縣 / 計","158","5","145","8"
"107年 1月/ 南投縣 / 男","79","-","77","2"
"107年 1月/ 南投縣 / 女","79","5","68","6"
"107年 1月/ 雲林縣 / 計","204","14","174","16"
"107年 1月/ 雲林縣 / 男","102","1","100","1"
"107年 1月/ 雲林縣 / 女","102","13","74","15"
"107年 1月/ 嘉義縣 / 計","162","9","144","9"
"107年 1月/ 嘉義縣 / 男","81","-","81","-"
"107年 1月/ 嘉義縣 / 女","81","9","63","9"
"107年 1月/ 屏東縣 / 計","314","14","285","15"
"107年 1月/ 屏東縣 / 男","157","1","156","-"
"107年 1月/ 屏東縣 / 女","157","13","129","15"
"107年 1月/ 臺東縣 / 計","82","3","72","7"
"107年 1月/ 臺東縣 / 男","41","-","41","-"
"107年 1月/ 臺東縣 / 女","41","3","31","7"
"107年 1月/ 花蓮縣 / 計","138","1","133","4"
"107年 1月/ 花蓮縣 / 男","69","-","69","-"
"107年 1月/ 花蓮縣 / 女","69","1","64","4"
"107年 1月/ 澎湖縣 / 計","32","1","30","1"
"107年 1月/ 澎湖縣 / 男","16","-","16","-"
"107年 1月/ 澎湖縣 / 女","16","1","14","1"
"107年 1月/ 基隆市 / 計","168","6","152","10"
"107年 1月/ 基隆市 / 男","84","1","83","-"
"107年 1月/ 基隆市 / 女","84","5","69","10"
"107年 1月/ 新竹市 / 計","148","4","136","8"
"107年 1月/ 新竹市 / 男","74","2","72","-"
"107年 1月/ 新竹市 / 女","74","2","64","8"
"107年 1月/ 嘉義市 / 計","88","4","81","3"
"107年 1月/ 嘉義市 / 男","44","1","43","-"
"107年 1月/ 嘉義市 / 女","44","3","38","3"
"107年 1月/ 金門縣 / 計","34","2","28","4"
"107年 1月/ 金門縣 / 男","17","-","17","-"
"107年 1月/ 金門縣 / 女","17","2","11","4"
"107年 1月/ 連江縣 / 計","6","-","6","-"
"107年 1月/ 連江縣 / 男","3","-","3","-"
"107年 1月/ 連江縣 / 女","3","-","3","-"

